Date_Ref;Exutoire;Client;Activité;Num Ticket;Num Bon;Chauffeur;Immatriculation;EXT_Matiere;Matiere_T;Verif_Tonnes;Verif_Matiere;Verif_Exutoire;Poids_Terrain;Poids_Facture;Ecart
;PICHETA;SITA -IDF;DECHETTERIE;LC25118175C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;5.7;-5.7
;PICHETA;SITA -IDF;DECHETTERIE;LC25118177C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;5.1;-5.1
;PICHETA;SITA -IDF;DECHETTERIE;LC25118178C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;6.35;-6.35
;PICHETA;SITA -IDF;DECHETTERIE;LC25118184C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;6.75;-6.75
;PICHETA;SITA -IDF;DECHETTERIE;LC25118185C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;7.9;-7.9
;PICHETA;SITA -IDF;DECHETTERIE;LC25118536C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;6.75;-6.75
;PICHETA;SITA -IDF;DECHETTERIE;LC25118661C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;5.82;-5.82
;PICHETA;SITA -IDF;DECHETTERIE;LC25118794C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;7.4;-7.4
;PICHETA;SITA -IDF;DECHETTERIE;LC25118885C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;8.05;-8.05
2025-11-26;PICHETA;SITA -IDF;DECHETTERIE;LC25119474C;11255576;BELGAID;EB-031-ZC;DEPOT GRAVAT CHANTIER;GRAVATS;OK;OK;OK;4.55;4.55;0.0
2025-11-26;PICHETA;SITA -IDF;DECHETTERIE;LC25119553C;11255577;BOULOUKT;FB-578-JE;DEPOT GRAVAT CHANTIER;GRAVATS;OK;OK;OK;5.7;5.7;0.0
2025-11-26;PICHETA;SITA -IDF;DECHETTERIE;LC25119562C;11255525;BOUZIANE;GZ-534-BG;DEPOT GRAVAT CHANTIER;GRAVATS;OK;OK;OK;10.76;10.76;0.0
;PICHETA;SITA -IDF;DECHETTERIE;LC25120140C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;4.95;-4.95
;PICHETA;SITA -IDF;DECHETTERIE;LC25120145C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;7.2;-7.2
2025-11-30;PICHETA;;DECHETTERIE;ST;11256036;*TAYEB;DR-572-JW;;GRAVATS;Pb.T;Pb.Mat;Pb.Ext;4.95;0.0;4.95
